# Schott AF32eco tabulated k; λ[µm], k
0.31,8.270100e-06
0.32,5.420500e-06
0.334,2.859500e-06
0.35,1.318000e-06
0.365,6.372700e-07
0.37,5.028600e-07
0.38,3.219700e-07
0.39,2.152300e-07
0.4,1.465600e-07
0.42,8.804800e-08
0.46,5.161000e-08
0.5,3.195900e-08
0.58,2.313500e-08
0.66,2.632600e-08
0.7,4.474300e-08
0.85,8.851000e-08
1.06,2.830600e-07
1.26,3.780300e-07
1.529,3.957200e-07
1.97,8.206200e-07
2.325,3.181800e-06
