wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
504.0,0.109017,0.811170,0.107997,0.807804,0.115195,0.795344,0.159787,0.745199
506.0,0.108770,0.810371,0.107222,0.807371,0.113696,0.795444,0.157446,0.745919
508.0,0.108438,0.809624,0.106362,0.806986,0.112130,0.795571,0.155092,0.746608
510.0,0.108021,0.808929,0.105421,0.806648,0.110500,0.795724,0.152728,0.747263
512.0,0.107520,0.808286,0.104398,0.806354,0.108806,0.795899,0.150358,0.747879
514.0,0.106933,0.807694,0.103294,0.806103,0.107053,0.796093,0.147986,0.748453
516.0,0.106262,0.807152,0.102112,0.805894,0.105243,0.796304,0.145614,0.748981
518.0,0.105506,0.806659,0.100853,0.805723,0.103378,0.796527,0.143245,0.749460
520.0,0.104667,0.806214,0.099518,0.805590,0.101463,0.796760,0.140885,0.749886
522.0,0.103745,0.805815,0.098110,0.805490,0.099499,0.797000,0.138536,0.750255
524.0,0.102741,0.805462,0.096630,0.805422,0.097491,0.797241,0.136202,0.750563
526.0,0.101656,0.805151,0.095083,0.805384,0.095443,0.797481,0.133887,0.750807
528.0,0.100492,0.804882,0.093469,0.805370,0.093359,0.797715,0.131596,0.750982
530.0,0.099251,0.804652,0.091792,0.805380,0.091243,0.797940,0.129332,0.751084
532.0,0.097934,0.804458,0.090056,0.805408,0.089099,0.798150,0.127100,0.751109
534.0,0.096543,0.804299,0.088263,0.805453,0.086932,0.798341,0.124906,0.751054
536.0,0.095080,0.804172,0.086417,0.805509,0.084748,0.798508,0.122752,0.750914
538.0,0.093549,0.804073,0.084523,0.805573,0.082551,0.798647,0.120645,0.750684
540.0,0.091952,0.804001,0.082583,0.805642,0.080347,0.798752,0.118590,0.750361
542.0,0.090291,0.803951,0.080603,0.805710,0.078141,0.798819,0.116592,0.749940
544.0,0.088569,0.803920,0.078588,0.805773,0.075941,0.798841,0.114656,0.749417
546.0,0.086792,0.803906,0.076541,0.805826,0.073751,0.798814,0.112789,0.748787
548.0,0.084960,0.803903,0.074469,0.805866,0.071579,0.798732,0.110996,0.748046
550.0,0.083080,0.803909,0.072375,0.805887,0.069430,0.798589,0.109285,0.747190
552.0,0.081154,0.803920,0.070267,0.805883,0.067313,0.798380,0.107660,0.746213
554.0,0.079187,0.803930,0.068150,0.805850,0.065234,0.798098,0.106130,0.745111
556.0,0.077183,0.803936,0.066029,0.805783,0.063200,0.797738,0.104702,0.743879
558.0,0.075148,0.803933,0.063912,0.805675,0.061219,0.797293,0.103382,0.742514
560.0,0.073086,0.803917,0.061804,0.805521,0.059299,0.796758,0.102179,0.741009
562.0,0.071003,0.803882,0.059713,0.805316,0.057448,0.796125,0.101101,0.739361
564.0,0.068904,0.803824,0.057646,0.805053,0.055675,0.795390,0.100155,0.737564
566.0,0.066795,0.803737,0.055609,0.804727,0.053986,0.794546,0.099351,0.735614
568.0,0.064682,0.803616,0.053610,0.804331,0.052392,0.793586,0.098697,0.733507
570.0,0.062571,0.803456,0.051656,0.803859,0.050900,0.792505,0.098202,0.731238
572.0,0.060469,0.803252,0.049756,0.803306,0.049520,0.791296,0.097875,0.728802
574.0,0.058382,0.802997,0.047918,0.802665,0.048259,0.789954,0.097725,0.726196
576.0,0.056317,0.802685,0.046149,0.801930,0.047128,0.788472,0.097762,0.723415
578.0,0.054281,0.802312,0.044458,0.801095,0.046135,0.786844,0.097996,0.720455
580.0,0.052282,0.801871,0.042853,0.800152,0.045288,0.785066,0.098434,0.717314
