wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
522.0,0.223666,0.776334,0.288556,0.711444,0.136881,0.863119,0.650435,0.349565
524.0,0.156954,0.843046,0.224740,0.775260,0.073795,0.926205,0.553412,0.446588
526.0,0.071404,0.928596,0.104250,0.895750,0.196775,0.803225,0.409657,0.590343
528.0,0.079957,0.920043,0.047557,0.952443,0.388842,0.611158,0.490664,0.509336
530.0,0.165209,0.834791,0.114449,0.885551,0.529345,0.470655,0.543457,0.456543
532.0,0.219954,0.780046,0.193311,0.806689,0.594770,0.405230,0.568422,0.431578
534.0,0.207021,0.792979,0.202503,0.797497,0.583297,0.416703,0.570044,0.429956
536.0,0.160458,0.839542,0.141303,0.858697,0.475256,0.524744,0.532732,0.467268
538.0,0.152848,0.847152,0.074195,0.925805,0.278878,0.721122,0.428275,0.571725
540.0,0.202108,0.797892,0.083306,0.916694,0.256112,0.743888,0.236044,0.763956
542.0,0.243794,0.756206,0.141384,0.858616,0.373812,0.626188,0.150410,0.849590
544.0,0.226949,0.773051,0.164721,0.835279,0.482063,0.517937,0.215755,0.784245
546.0,0.149719,0.850281,0.124015,0.875985,0.539454,0.460546,0.260574,0.739426
548.0,0.069262,0.930738,0.074564,0.925436,0.526074,0.473926,0.267660,0.732340
550.0,0.071709,0.928291,0.132026,0.867974,0.424739,0.575261,0.252150,0.747850
552.0,0.143379,0.856621,0.284164,0.715836,0.257454,0.742546,0.235145,0.764855
554.0,0.196784,0.803216,0.413840,0.586160,0.208003,0.791997,0.224930,0.775070
556.0,0.188291,0.811709,0.469664,0.530336,0.274893,0.725107,0.209816,0.790184
558.0,0.127239,0.872761,0.444782,0.555218,0.342077,0.657923,0.179793,0.820207
560.0,0.067815,0.932185,0.332040,0.667960,0.382113,0.617887,0.151871,0.848129
562.0,0.071167,0.928833,0.153846,0.846154,0.379276,0.620724,0.166197,0.833803
564.0,0.121987,0.878013,0.063046,0.936954,0.330069,0.669931,0.217904,0.782096
566.0,0.157460,0.842540,0.159716,0.840284,0.253532,0.746468,0.265758,0.734242
568.0,0.148405,0.851595,0.301180,0.698820,0.194286,0.805714,0.295657,0.704343
570.0,0.116397,0.883603,0.382138,0.617862,0.177555,0.822445,0.313207,0.686793
572.0,0.120897,0.879103,0.385224,0.614776,0.183904,0.816096,0.325241,0.674759
574.0,0.192471,0.807529,0.314122,0.685878,0.191186,0.808814,0.334876,0.665124
576.0,0.283669,0.716331,0.188122,0.811878,0.195652,0.804348,0.341604,0.658396
578.0,0.337693,0.662307,0.078818,0.921182,0.203321,0.796679,0.342496,0.657504
580.0,0.331641,0.668359,0.066853,0.933147,0.216211,0.783789,0.333835,0.666165
582.0,0.262833,0.737167,0.128661,0.871339,0.227363,0.772637,0.315879,0.684121
584.0,0.151885,0.848115,0.195301,0.804699,0.225857,0.774143,0.299109,0.700891
586.0,0.068648,0.931352,0.233894,0.766106,0.204694,0.795306,0.292854,0.707146
588.0,0.085876,0.914124,0.245269,0.754731,0.168215,0.831785,0.285064,0.714936
590.0,0.170084,0.829916,0.244061,0.755939,0.133873,0.866127,0.256476,0.743524
592.0,0.240501,0.759499,0.242913,0.757087,0.118624,0.881376,0.210094,0.789906
594.0,0.259966,0.740034,0.242553,0.757447,0.123243,0.876757,0.222187,0.777813
596.0,0.226527,0.773473,0.234758,0.765242,0.139439,0.860561,0.346693,0.653307
598.0,0.157448,0.842552,0.214001,0.785999,0.162994,0.837006,0.457844,0.542156
600.0,0.089463,0.910537,0.186573,0.813427,0.193751,0.806249,0.517122,0.482878
602.0,0.060825,0.939175,0.170246,0.829754,0.229552,0.770448,0.544993,0.455007
604.0,0.073680,0.926320,0.179753,0.820247,0.266106,0.733894,0.555626,0.444374
606.0,0.098995,0.901005,0.210500,0.789500,0.300528,0.699472,0.557180,0.442820
608.0,0.115891,0.884109,0.242548,0.757452,0.329184,0.670816,0.555320,0.444680
610.0,0.127732,0.872268,0.256920,0.743080,0.344953,0.655047,0.553394,0.446606
612.0,0.151854,0.848146,0.244773,0.755227,0.341587,0.658413,0.551493,0.448507
614.0,0.197062,0.802938,0.209027,0.790973,0.322633,0.677367,0.546911,0.453089
616.0,0.250514,0.749486,0.163848,0.836152,0.304553,0.695447,0.536629,0.463371
618.0,0.289833,0.710167,0.128086,0.871914,0.299868,0.700132,0.520513,0.479487
620.0,0.299595,0.700405,0.110996,0.889004,0.302619,0.697381,0.504082,0.495918
622.0,0.275603,0.724397,0.106072,0.893928,0.302365,0.697635,0.498728,0.501272
624.0,0.225998,0.774002,0.101952,0.898048,0.291342,0.708658,0.515167,0.484833
626.0,0.175290,0.824710,0.097147,0.902853,0.261147,0.738853,0.552797,0.447203
628.0,0.157070,0.842930,0.104538,0.895462,0.220386,0.779614,0.599130,0.400870
630.0,0.183459,0.816541,0.139143,0.860857,0.220788,0.779212,0.641056,0.358944
632.0,0.230826,0.769174,0.200977,0.799023,0.288267,0.711733,0.672558,0.327442
634.0,0.267082,0.732918,0.274549,0.725451,0.368637,0.631363,0.694363,0.305637
636.0,0.274515,0.725485,0.339559,0.660441,0.428771,0.571229,0.711507,0.288493
638.0,0.250343,0.749657,0.380449,0.619551,0.473328,0.526672,0.731053,0.268947
640.0,0.203621,0.796379,0.390311,0.609689,0.508260,0.491740,0.758219,0.241781
642.0,0.154314,0.845686,0.370766,0.629234,0.531601,0.468399,0.792101,0.207899
644.0,0.124464,0.875536,0.333955,0.666045,0.539812,0.460188,0.826654,0.173346
646.0,0.119752,0.880248,0.303296,0.696704,0.531699,0.468301,0.856282,0.143718
648.0,0.124667,0.875333,0.299655,0.700345,0.511694,0.488306,0.878905,0.121095
650.0,0.119587,0.880413,0.323471,0.676529,0.495731,0.504269,0.895142,0.104858
652.0,0.097972,0.902028,0.357698,0.642302,0.510124,0.489876,0.906752,0.093248
654.0,0.074228,0.925772,0.381398,0.618602,0.566678,0.433322,0.915796,0.084204
656.0,0.080306,0.919694,0.379374,0.620626,0.643544,0.356456,0.924233,0.075767
658.0,0.138634,0.861366,0.345937,0.654063,0.712311,0.287689,0.933387,0.066613
660.0,0.232775,0.767225,0.288464,0.711536,0.762341,0.237659,0.943367,0.056633
662.0,0.324583,0.675417,0.230300,0.769700,0.795441,0.204559,0.953198,0.046802
664.0,0.388315,0.611685,0.196017,0.803983,0.816645,0.183355,0.961743,0.038257
666.0,0.416152,0.583848,0.190015,0.809985,0.831907,0.168093,0.968433,0.031567
668.0,0.409304,0.590696,0.207069,0.792931,0.847724,0.152276,0.973299,0.026701
670.0,0.374270,0.625730,0.251147,0.748853,0.868419,0.131581,0.976617,0.023383
672.0,0.326792,0.673208,0.321027,0.678973,0.892770,0.107230,0.978651,0.021349
674.0,0.294688,0.705312,0.385601,0.614399,0.915845,0.084155,0.979617,0.020383
676.0,0.302022,0.697978,0.427272,0.572728,0.934157,0.065843,0.979684,0.020316
678.0,0.343498,0.656502,0.478679,0.521321,0.947214,0.052786,0.978991,0.021009
680.0,0.391019,0.608981,0.572168,0.427832,0.956059,0.043941,0.977728,0.022272
682.0,0.420678,0.579322,0.682177,0.317823,0.961989,0.038011,0.976267,0.023733
684.0,0.421490,0.578510,0.769541,0.230459,0.966132,0.033868,0.975231,0.024769
686.0,0.390889,0.609111,0.825989,0.174011,0.969436,0.030564,0.975302,0.024698
688.0,0.332884,0.667116,0.859347,0.140653,0.972685,0.027315,0.976710,0.023290
690.0,0.261731,0.738269,0.878348,0.121652,0.976319,0.023681,0.979007,0.020993
692.0,0.201719,0.798281,0.889713,0.110287,0.980238,0.019762,0.981475,0.018525
694.0,0.169869,0.830131,0.898651,0.101349,0.983969,0.016031,0.983608,0.016392
696.0,0.157374,0.842626,0.908810,0.091190,0.987086,0.012914,0.985212,0.014788
