wavelength_nm,R_0deg,T_0deg,R_30deg,T_30deg,R_45deg,T_45deg,R_60deg,T_60deg
504.0,0.058538,0.883785,0.064195,0.876834,0.090748,0.848879,0.186017,0.751760
506.0,0.058996,0.882799,0.064853,0.875657,0.091578,0.847531,0.186864,0.750366
508.0,0.059496,0.881771,0.065555,0.874437,0.092452,0.846141,0.187753,0.748933
510.0,0.060039,0.880701,0.066300,0.873175,0.093370,0.844708,0.188684,0.747459
512.0,0.060625,0.879588,0.067089,0.871869,0.094332,0.843232,0.189659,0.745947
514.0,0.061253,0.878433,0.067922,0.870521,0.095339,0.841714,0.190677,0.744394
516.0,0.061925,0.877236,0.068799,0.869129,0.096390,0.840153,0.191739,0.742801
518.0,0.062640,0.875997,0.069720,0.867695,0.097486,0.838549,0.192845,0.741168
520.0,0.063399,0.874715,0.070686,0.866218,0.098627,0.836902,0.193996,0.739496
522.0,0.064200,0.873391,0.071696,0.864698,0.099813,0.835213,0.195191,0.737783
524.0,0.065046,0.872024,0.072750,0.863136,0.101045,0.833481,0.196431,0.736030
526.0,0.065934,0.870615,0.073849,0.861531,0.102321,0.831707,0.197717,0.734238
528.0,0.066867,0.869164,0.074992,0.859883,0.103642,0.829890,0.199047,0.732406
530.0,0.067843,0.867672,0.076180,0.858193,0.105009,0.828032,0.200423,0.730534
532.0,0.068863,0.866137,0.077412,0.856461,0.106420,0.826131,0.201844,0.728622
534.0,0.069927,0.864560,0.078689,0.854687,0.107877,0.824189,0.203311,0.726672
536.0,0.071035,0.862941,0.080010,0.852871,0.109379,0.822205,0.204823,0.724682
538.0,0.072186,0.861280,0.081375,0.851013,0.110925,0.820180,0.206381,0.722654
540.0,0.073381,0.859578,0.082784,0.849114,0.112516,0.818114,0.207984,0.720587
542.0,0.074620,0.857835,0.084238,0.847173,0.114152,0.816008,0.209632,0.718482
544.0,0.075903,0.856050,0.085735,0.845192,0.115833,0.813861,0.211325,0.716339
546.0,0.077229,0.854224,0.087277,0.843169,0.117557,0.811674,0.213062,0.714159
548.0,0.078599,0.852358,0.088862,0.841107,0.119326,0.809447,0.214844,0.711942
550.0,0.080012,0.850451,0.090490,0.839004,0.121138,0.807181,0.216671,0.709688
552.0,0.081469,0.848503,0.092162,0.836861,0.122993,0.804876,0.218541,0.707399
554.0,0.082969,0.846515,0.093877,0.834679,0.124892,0.802532,0.220455,0.705074
556.0,0.084511,0.844488,0.095634,0.832458,0.126834,0.800151,0.222411,0.702715
558.0,0.086097,0.842421,0.097434,0.830198,0.128818,0.797732,0.224411,0.700321
560.0,0.087725,0.840314,0.099276,0.827900,0.130844,0.795276,0.226452,0.697893
562.0,0.089396,0.838169,0.101160,0.825564,0.132911,0.792783,0.228535,0.695433
564.0,0.091108,0.835985,0.103086,0.823190,0.135020,0.790255,0.230659,0.692940
566.0,0.092863,0.833763,0.105053,0.820779,0.137170,0.787691,0.232823,0.690415
568.0,0.094659,0.831502,0.107060,0.818332,0.139360,0.785092,0.235027,0.687859
570.0,0.096496,0.829205,0.109108,0.815848,0.141589,0.782459,0.237270,0.685273
572.0,0.098375,0.826870,0.111197,0.813329,0.143858,0.779792,0.239552,0.682658
574.0,0.100294,0.824499,0.113324,0.810775,0.146166,0.777092,0.241871,0.680014
576.0,0.102254,0.822091,0.115491,0.808186,0.148511,0.774360,0.244227,0.677342
578.0,0.104253,0.819648,0.117697,0.805564,0.150895,0.771596,0.246619,0.674643
580.0,0.106292,0.817170,0.119940,0.802907,0.153315,0.768801,0.249047,0.671918
582.0,0.108371,0.814656,0.122222,0.800218,0.155771,0.765975,0.251509,0.669167
584.0,0.110488,0.812109,0.124541,0.797497,0.158263,0.763120,0.254004,0.666392
586.0,0.112643,0.809527,0.126896,0.794744,0.160790,0.760236,0.256533,0.663593
588.0,0.114836,0.806912,0.129287,0.791960,0.163351,0.757324,0.259093,0.660771
590.0,0.117067,0.804265,0.131714,0.789145,0.165946,0.754384,0.261683,0.657927
592.0,0.119334,0.801585,0.134176,0.786301,0.168573,0.751417,0.264304,0.655062
594.0,0.121638,0.798874,0.136672,0.783427,0.171233,0.748425,0.266954,0.652177
596.0,0.123978,0.796132,0.139202,0.780525,0.173924,0.745407,0.269632,0.649273
598.0,0.126354,0.793359,0.141765,0.777595,0.176646,0.742365,0.272337,0.646350
600.0,0.128764,0.790557,0.144361,0.774638,0.179398,0.739299,0.275068,0.643410
602.0,0.131208,0.787725,0.146988,0.771655,0.182179,0.736210,0.277823,0.640454
604.0,0.133686,0.784865,0.149647,0.768645,0.184988,0.733099,0.280603,0.637482
606.0,0.136197,0.781976,0.152336,0.765610,0.187825,0.729967,0.283406,0.634495
608.0,0.138741,0.779061,0.155055,0.762552,0.190688,0.726814,0.286231,0.631494
